farm,region,dd_lat,dd_long,manual_x
Humphrey_Rock,Broughton,50.698633,-126.2538333,-20
Humphrey_Rock,Broughton,50.69873333,-126.2535333,-44.6
Humphrey_Rock,Broughton,50.69901667,-126.253,-93.72
Humphrey_Rock,Broughton,50.69626667,-126.2585333,20
Humphrey_Rock,Broughton,50.69608333,-126.2588167,45.76
Humphrey_Rock,Broughton,50.69576667,-126.25925,135.52
Humphrey_Rock,Broughton,50.69508333,-126.26,311.72
Humphrey_Rock,Broughton,50.69353333,-126.2608167,512.26
Humphrey_Rock,Broughton,50.69171667,-126.26035,788.99
Humphrey_Rock,Broughton,50.69918333,-126.2514167,-206.58
Humphrey_Rock,Broughton,50.69975,-126.2488667,-399.21
Humphrey_Rock,Broughton,50.70068333,-126.24585,-637.42
Humphrey_Rock,Broughton,50.70193333,-126.2424333,-916.85
Humphrey_Rock,Broughton,50.70338333,-126.2392667,-1196.19
Humphrey_Rock,Broughton,50.70616667,-126.2363167,-1586.82
Humphrey_Rock,Broughton,50.71026667,-126.2370333,-2060.77
Humphrey_Rock,Broughton,50.71766667,-126.2367667,-2898.52
Humphrey_Rock,Broughton,50.72443333,-126.2201,-4301.42
Humphrey_Rock,Broughton,50.68918333,-126.2605833,1060.87
Humphrey_Rock,Broughton,50.68588333,-126.26,1429.76
Humphrey_Rock,Broughton,50.68206667,-126.2574333,1901.67
Humphrey_Rock,Broughton,50.67588333,-126.25135,2710.4
Humphrey_Rock,Broughton,50.6676,-126.2541333,3653.75
Humphrey_Rock,Broughton,50.65613333,-126.26585,5180.49
Swanson,Broughton,50.6176,-126.7019667,-20
Swanson,Broughton,50.61735,-126.7013833,-70.26
Swanson,Broughton,50.6172,-126.7000167,-168.71
Swanson,Broughton,50.6169,-126.6974167,-355.2
Swanson,Broughton,50.617472,126.685111,-600.03
Swanson,Broughton,50.618,126.684444,-895.92
Swanson,Broughton,50.6192,-126.6850833,-1269.53
Swanson,Broughton,50.6199,-126.7074167,20
Swanson,Broughton,50.62001667,-126.70775,49.07
Swanson,Broughton,50.62036667,-126.7082,102.56
Swanson,Broughton,50.62108333,-126.7088833,198.73
Swanson,Broughton,50.62251667,-126.7099,377.03
Swanson,Broughton,50.62431667,-126.7114667,601.61
Swanson,Broughton,50.62668333,-126.7129667,901.77
Swanson,Broughton,50.6192,-126.6850833,-1726.2
Swanson,Broughton,50.62111667,-126.6794167,-2553.34
Swanson,Broughton,50.62536667,-126.6701833,-3514.05
Swanson,Broughton,50.62841667,-126.6576,-5003.45
Swanson,Broughton,50.63103333,-126.6369333,-6703.45
Swanson,Broughton,50.629,-126.7175,1317.08
Swanson,Broughton,50.6292,-126.724,1775.11
Swanson,Broughton,50.63046667,-126.73365,2477.21
Midsummer,Broughton,50.65716667,-126.6651667,-20
Midsummer,Broughton,50.6574,-126.6648,-59.42
Midsummer,Broughton,50.65745,-126.6641667,-103.79
Midsummer,Broughton,50.65758333,-126.6630333,-186.43
Midsummer,Broughton,50.65761667,-126.6604333,-369.99
Midsummer,Broughton,50.65795,-126.6571667,-605.7
Midsummer,Broughton,50.65858333,-126.6534333,-882.16
Midsummer,Broughton,50.6589,-126.6481667,-1258.64
Midsummer,Broughton,50.6582,-126.6416167,-1725.45
Midsummer,Broughton,50.65608333,-126.6296167,-2602.44
Midsummer,Broughton,50.65178333,-126.6120167,-3918.73
Midsummer,Broughton,50.65738333,-126.6712833,390.44
Midsummer,Broughton,50.65756667,-126.668,153.5
Midsummer,Broughton,50.65791667,-126.6748,650.22
Midsummer,Broughton,50.6589,-126.6784667,949.36
Midsummer,Broughton,50.66008333,-126.6829333,1291.07
Midsummer,Broughton,50.65878333,-126.6891333,1750.46
